amplitude,period,wave
55,54,"[0, 6, 13, 19, 25, 30, 35, 40, 44, 48, 51, 53, 54, 55, 55, 54, 53, 51, 48, 44, 40, 35, 30, 25, 19, 13, 6, 0, -6, -13, -19, -25, -30, -35, -40, -44, -48, -51, -53, -54, -55, -55, -54, -53, -51, -48, -44, -40, -35, -30, -25, -19, -13, -6, 0, 6, 13, 19, 25, 30, 35, 40, 44, 48, 51, 53, 54, 55, 55, 54, 53, 51, 48, 44, 40, 35, 30, 25, 19, 13, 6, 0, -6, -13, -19, -25, -30, -35, -40, -44, -48, -51, -53, -54, -55, -55, -54, -53, -51, -48]"
24,98,"[0, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 20, 21, 21, 22, 23, 23, 23, 24, 24, 24, 24, 24, 24, 23, 23, 23, 22, 21, 21, 20, 19, 18, 17, 16, 14, 13, 12, 10, 9, 8, 6, 5, 3, 2, 0, -2, -3, -5, -6, -8, -9, -10, -12, -13, -14, -16, -17, -18, -19, -20, -21, -21, -22, -23, -23, -23, -24, -24, -24, -24, -24, -24, -23, -23, -23, -22, -21, -21, -20, -19, -18, -17, -16, -14, -13, -12, -10, -9, -8, -6, -5, -3, -2, 0, 2]"
38,89,"[0, 3, 5, 8, 11, 13, 16, 18, 20, 23, 25, 27, 28, 30, 32, 33, 34, 35, 36, 37, 38, 38, 38, 38, 38, 37, 37, 36, 35, 34, 32, 31, 29, 28, 26, 24, 21, 19, 17, 14, 12, 9, 7, 4, 1, -1, -4, -7, -9, -12, -14, -17, -19, -21, -24, -26, -28, -29, -31, -32, -34, -35, -36, -37, -37, -38, -38, -38, -38, -38, -37, -36, -35, -34, -33, -32, -30, -28, -27, -25, -23, -20, -18, -16, -13, -11, -8, -5, -3, 0, 3, 5, 8, 11, 13, 16, 18, 20, 23, 25]"
45,59,"[0, 5, 10, 14, 19, 23, 27, 31, 34, 37, 39, 41, 43, 44, 45, 45, 45, 44, 42, 40, 38, 35, 32, 29, 25, 21, 16, 12, 7, 2, -2, -7, -12, -16, -21, -25, -29, -32, -35, -38, -40, -42, -44, -45, -45, -45, -44, -43, -41, -39, -37, -34, -31, -27, -23, -19, -14, -10, -5, 0, 5, 10, 14, 19, 23, 27, 31, 34, 37, 39, 41, 43, 44, 45, 45, 45, 44, 42, 40, 38, 35, 32, 29, 25, 21, 16, 12, 7, 2, -2, -7, -12, -16, -21, -25, -29, -32, -35, -38, -40]"
32,48,"[0, 4, 8, 12, 16, 19, 23, 25, 28, 30, 31, 32, 32, 32, 31, 30, 28, 25, 23, 19, 16, 12, 8, 4, 0, -4, -8, -12, -16, -19, -23, -25, -28, -30, -31, -32, -32, -32, -31, -30, -28, -25, -23, -19, -16, -12, -8, -4, 0, 4, 8, 12, 16, 19, 23, 25, 28, 30, 31, 32, 32, 32, 31, 30, 28, 25, 23, 19, 16, 12, 8, 4, 0, -4, -8, -12, -16, -19, -23, -25, -28, -30, -31, -32, -32, -32, -31, -30, -28, -25, -23, -19, -16, -12, -8, -4, 0, 4, 8, 12]"
20,88,"[0, 1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 18, 19, 19, 20, 20, 20, 20, 20, 20, 20, 19, 19, 18, 18, 17, 16, 15, 14, 13, 12, 11, 10, 8, 7, 6, 4, 3, 1, 0, -1, -3, -4, -6, -7, -8, -10, -11, -12, -13, -14, -15, -16, -17, -18, -18, -19, -19, -20, -20, -20, -20, -20, -20, -20, -19, -19, -18, -18, -17, -16, -15, -14, -13, -12, -11, -10, -8, -7, -6, -4, -3, -1, 0, 1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14]"
68,81,"[0, 5, 11, 16, 21, 26, 31, 35, 40, 44, 48, 51, 55, 58, 60, 62, 64, 66, 67, 68, 68, 68, 67, 66, 65, 63, 61, 59, 56, 53, 49, 46, 42, 37, 33, 28, 23, 18, 13, 8, 3, -3, -8, -13, -18, -23, -28, -33, -37, -42, -46, -49, -53, -56, -59, -61, -63, -65, -66, -67, -68, -68, -68, -67, -66, -64, -62, -60, -58, -55, -51, -48, -44, -40, -35, -31, -26, -21, -16, -11, -5, 0, 5, 11, 16, 21, 26, 31, 35, 40, 44, 48, 51, 55, 58, 60, 62, 64, 66, 67]"
73,70,"[0, 7, 13, 19, 26, 32, 37, 43, 48, 53, 57, 61, 64, 67, 69, 71, 72, 73, 73, 72, 71, 69, 67, 64, 61, 57, 53, 48, 43, 37, 32, 26, 19, 13, 7, 0, -7, -13, -19, -26, -32, -37, -43, -48, -53, -57, -61, -64, -67, -69, -71, -72, -73, -73, -72, -71, -69, -67, -64, -61, -57, -53, -48, -43, -37, -32, -26, -19, -13, -7, 0, 7, 13, 19, 26, 32, 37, 43, 48, 53, 57, 61, 64, 67, 69, 71, 72, 73, 73, 72, 71, 69, 67, 64, 61, 57, 53, 48, 43, 37]"
23,80,"[0, 2, 4, 5, 7, 9, 10, 12, 14, 15, 16, 17, 19, 20, 20, 21, 22, 22, 23, 23, 23, 23, 23, 22, 22, 21, 20, 20, 19, 17, 16, 15, 14, 12, 10, 9, 7, 5, 4, 2, 0, -2, -4, -5, -7, -9, -10, -12, -14, -15, -16, -17, -19, -20, -20, -21, -22, -22, -23, -23, -23, -23, -23, -22, -22, -21, -20, -20, -19, -17, -16, -15, -14, -12, -10, -9, -7, -5, -4, -2, 0, 2, 4, 5, 7, 9, 10, 12, 14, 15, 16, 17, 19, 20, 20, 21, 22, 22, 23, 23]"
78,97,"[0, 5, 10, 15, 20, 25, 30, 34, 39, 43, 47, 51, 55, 58, 61, 64, 67, 70, 72, 74, 75, 76, 77, 78, 78, 78, 77, 77, 76, 74, 73, 71, 68, 66, 63, 60, 56, 53, 49, 45, 41, 36, 32, 27, 22, 18, 13, 8, 3, -3, -8, -13, -18, -22, -27, -32, -36, -41, -45, -49, -53, -56, -60, -63, -66, -68, -71, -73, -74, -76, -77, -77, -78, -78, -78, -77, -76, -75, -74, -72, -70, -67, -64, -61, -58, -55, -51, -47, -43, -39, -34, -30, -25, -20, -15, -10, -5, 0, 5, 10]"
